"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Upper 1","20 Jul 2026, 19:42","20 Jul 2026, 20:26","","Pull Up",0,"",0,"normal",,20,,,
"Upper 1","20 Jul 2026, 19:42","20 Jul 2026, 20:26","","Pull Up",0,"",1,"normal",,10,,,
"Upper 1","20 Jul 2026, 19:42","20 Jul 2026, 20:26","","Pull Up",0,"",2,"normal",,10,,,
"Upper 1","20 Jul 2026, 19:42","20 Jul 2026, 20:26","","Push Press",0,"",0,"normal",54,3,,,
"Upper 1","20 Jul 2026, 19:42","20 Jul 2026, 20:26","","Push Press",0,"",1,"normal",54,2,,,
"Upper 1","20 Jul 2026, 19:42","20 Jul 2026, 20:26","","Push Press",0,"",2,"failure",39,9,,,
"Upper 1","20 Jul 2026, 19:42","20 Jul 2026, 20:26","","Seated Cable Row - V Grip (Cable)",1,"",0,"normal",70,14,,,
"Upper 1","20 Jul 2026, 19:42","20 Jul 2026, 20:26","","Seated Cable Row - V Grip (Cable)",1,"",1,"normal",70,14,,,
"Upper 1","20 Jul 2026, 19:42","20 Jul 2026, 20:26","","Chest Dip",1,"",0,"normal",,15,,,
"Upper 1","20 Jul 2026, 19:42","20 Jul 2026, 20:26","","Chest Dip",1,"",1,"normal",,15,,,
"Upper 1","20 Jul 2026, 19:42","20 Jul 2026, 20:26","","Lateral Raise (Dumbbell)",,"",0,"normal",25,13,,,
"Upper 1","20 Jul 2026, 19:42","20 Jul 2026, 20:26","","Lateral Raise (Dumbbell)",,"",1,"normal",25,13,,,
"Upper 1","20 Jul 2026, 19:42","20 Jul 2026, 20:26","","Butterfly (Pec Deck)",,"",0,"normal",70,15,,,
"Upper 1","20 Jul 2026, 19:42","20 Jul 2026, 20:26","","Butterfly (Pec Deck)",,"",1,"normal",75,10,,,
"Upper 1","20 Jul 2026, 19:42","20 Jul 2026, 20:26","","Face Pull",,"",0,"normal",75,15,,,
"Upper 1","20 Jul 2026, 19:42","20 Jul 2026, 20:26","","Face Pull",,"",1,"normal",75,15,,,
"Upper deload 2","17 Jul 2026, 20:19","17 Jul 2026, 20:52","","Pull Up",0,"",0,"normal",,14,,,
"Upper deload 2","17 Jul 2026, 20:19","17 Jul 2026, 20:52","","Pull Up",0,"",1,"normal",,12,,,
"Upper deload 2","17 Jul 2026, 20:19","17 Jul 2026, 20:52","","Overhead Press (Barbell)",0,"",0,"normal",39,9,,,
"Upper deload 2","17 Jul 2026, 20:19","17 Jul 2026, 20:52","","Overhead Press (Barbell)",0,"",1,"normal",39,9,,,
"Upper deload 2","17 Jul 2026, 20:19","17 Jul 2026, 20:52","","Iso-Lateral Row (Machine)",1,"",0,"normal",40,10,,,
"Upper deload 2","17 Jul 2026, 20:19","17 Jul 2026, 20:52","","Iso-Lateral Row (Machine)",1,"",1,"normal",60,10,,,
"Upper deload 2","17 Jul 2026, 20:19","17 Jul 2026, 20:52","","Chest Dip",1,"",0,"normal",,12,,,
"Upper deload 2","17 Jul 2026, 20:19","17 Jul 2026, 20:52","","Chest Dip",1,"",1,"normal",,12,,,
"Upper deload 2","17 Jul 2026, 20:19","17 Jul 2026, 20:52","","Lateral Raise (Machine)",,"",0,"normal",30,10,,,
"Upper deload 2","17 Jul 2026, 20:19","17 Jul 2026, 20:52","","Lateral Raise (Machine)",,"",1,"normal",30,10,,,
"Upper deload 2","17 Jul 2026, 20:19","17 Jul 2026, 20:52","","Butterfly (Pec Deck)",,"",0,"normal",60,10,,,
"Upper deload 2","17 Jul 2026, 20:19","17 Jul 2026, 20:52","","Butterfly (Pec Deck)",,"",1,"normal",60,10,,,
"Upper deload 2","17 Jul 2026, 20:19","17 Jul 2026, 20:52","","Face Pull",,"",0,"normal",75,10,,,
"Upper deload 2","17 Jul 2026, 20:19","17 Jul 2026, 20:52","","Face Pull",,"",1,"normal",75,10,,,
"deload leg day","16 Jul 2026, 19:35","16 Jul 2026, 20:11","","Zercher Squat",,"",0,"normal",68,6,,,
"deload leg day","16 Jul 2026, 19:35","16 Jul 2026, 20:11","","Zercher Squat",,"",1,"normal",68,6,,,
"deload leg day","16 Jul 2026, 19:35","16 Jul 2026, 20:11","","Romanian Deadlift (Barbell)",,"",0,"normal",70,10,,,
"deload leg day","16 Jul 2026, 19:35","16 Jul 2026, 20:11","","Romanian Deadlift (Barbell)",,"",1,"normal",70,10,,,
"deload leg day","16 Jul 2026, 19:35","16 Jul 2026, 20:11","","Bulgarian Split Squat (Dumbbell)",,"",0,"normal",60,6,,,
"deload leg day","16 Jul 2026, 19:35","16 Jul 2026, 20:11","","Bulgarian Split Squat (Dumbbell)",,"",1,"normal",60,6,,,
"deload leg day","16 Jul 2026, 19:35","16 Jul 2026, 20:11","","Single Leg Romanian Deadlift (Dumbbell)",,"",0,"normal",50,10,,,
"deload leg day","16 Jul 2026, 19:35","16 Jul 2026, 20:11","","Leg Extension (Machine)",,"",0,"normal",50,15,,,
"deload leg day","16 Jul 2026, 19:35","16 Jul 2026, 20:11","","Seated Leg Curl (Machine)",,"",0,"normal",41,15,,,
"deload leg day","16 Jul 2026, 19:35","16 Jul 2026, 20:11","","Seated Calf Raise",,"",0,"normal",30,12,,,
"deload leg day","16 Jul 2026, 19:35","16 Jul 2026, 20:11","","Seated Calf Raise",,"",1,"normal",30,12,,,
"deload leg day","16 Jul 2026, 19:35","16 Jul 2026, 20:11","","Standing Calf Raise",,"",0,"normal",,15,,,
"deload leg day","16 Jul 2026, 19:35","16 Jul 2026, 20:11","","Tibialis Raise",,"",0,"normal",5,20,,,
"deload leg day","16 Jul 2026, 19:35","16 Jul 2026, 20:11","","Hip Adduction (Machine)",,"",0,"normal",30,10,,,
"Upper 1 (deload)","13 Jul 2026, 19:49","13 Jul 2026, 20:32","","Bench Press (Barbell)",,"",0,"normal",65,6,,,
"Upper 1 (deload)","13 Jul 2026, 19:49","13 Jul 2026, 20:32","","Bench Press (Barbell)",,"",1,"normal",65,6,,,
"Upper 1 (deload)","13 Jul 2026, 19:49","13 Jul 2026, 20:32","","Bench Press (Barbell)",,"",2,"normal",65,6,,,
"Upper 1 (deload)","13 Jul 2026, 19:49","13 Jul 2026, 20:32","","Bent Over Row (Barbell)",,"",0,"normal",60,12,,,
"Upper 1 (deload)","13 Jul 2026, 19:49","13 Jul 2026, 20:32","","Bent Over Row (Barbell)",,"",1,"normal",60,12,,,
"Upper 1 (deload)","13 Jul 2026, 19:49","13 Jul 2026, 20:32","","Bent Over Row (Barbell)",,"",2,"normal",60,12,,,
"Upper 1 (deload)","13 Jul 2026, 19:49","13 Jul 2026, 20:32","","Pull Up",0,"",0,"normal",,12,,,
"Upper 1 (deload)","13 Jul 2026, 19:49","13 Jul 2026, 20:32","","Pull Up",0,"",1,"normal",,12,,,
"Upper 1 (deload)","13 Jul 2026, 19:49","13 Jul 2026, 20:32","","Shoulder Press (Dumbbell)",0,"",0,"normal",40,15,,,
"Upper 1 (deload)","13 Jul 2026, 19:49","13 Jul 2026, 20:32","","Shoulder Press (Dumbbell)",0,"",1,"normal",40,12,,,
"Upper 1 (deload)","13 Jul 2026, 19:49","13 Jul 2026, 20:32","","Face Pull",,"",0,"normal",75,16,,,
"Upper 1 (deload)","13 Jul 2026, 19:49","13 Jul 2026, 20:32","","Face Pull",,"",1,"normal",75,15,,,
"Upper 1 (deload)","13 Jul 2026, 19:49","13 Jul 2026, 20:32","","Cross Body Hammer Curl",1,"",0,"normal",25,14,,,
"Upper 1 (deload)","13 Jul 2026, 19:49","13 Jul 2026, 20:32","","Cross Body Hammer Curl",1,"",1,"normal",25,15,,,
"Upper 1 (deload)","13 Jul 2026, 19:49","13 Jul 2026, 20:32","","Overhead Triceps Extension (Cable)",1,"",0,"normal",30,12,,,
"Upper 1 (deload)","13 Jul 2026, 19:49","13 Jul 2026, 20:32","","Overhead Triceps Extension (Cable)",1,"",1,"normal",30,14,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Straight Leg Deadlift",,"no straps rpe 6",0,"normal",70,13,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Straight Leg Deadlift",,"no straps rpe 6",1,"normal",90,12,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Straight Leg Deadlift",,"no straps rpe 6",2,"normal",90,10,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Goblet Squat",3,"",0,"normal",30,15,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Goblet Squat",3,"",1,"normal",30,15,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Goblet Squat",3,"",2,"normal",30,15,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Sissy Squat (Weighted)",1,"",0,"normal",82,12,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Sissy Squat (Weighted)",1,"",1,"normal",82,14,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Back Extension (Weighted Hyperextension)",1,"",0,"normal",,20,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Back Extension (Weighted Hyperextension)",1,"",1,"normal",25,20,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Seated Calf Raise",2,"",0,"normal",25,18,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Seated Calf Raise",2,"",1,"normal",25,17,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Tibialis Raise",2,"",0,"normal",5,20,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Tibialis Raise",2,"",1,"normal",5,15,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Standing Calf Raise",3,"",0,"normal",,15,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Standing Calf Raise",3,"",1,"normal",,15,,,
"Legs","10 Jul 2026, 19:52","10 Jul 2026, 20:45","","Standing Calf Raise",3,"",2,"normal",,15,,,
"Upper 2","9 Jul 2026, 19:27","9 Jul 2026, 20:18","what in the pullup PR","Pull Up",,"High Pulls",0,"normal",,3,,,
"Upper 2","9 Jul 2026, 19:27","9 Jul 2026, 20:18","what in the pullup PR","Pull Up",,"High Pulls",1,"normal",,3,,,
